dst,t1,h1,t2,h2,h2_over_h1,delta,window_lo,window_hi,n_walkers,n_in_window,frac_in_window,frac_no,frac_one,frac_multi
43,37,0.002016907536240802,120,0.0023104056056250807,1.14551885205968,4,116,124,500000,10317,0.020634,0.44567219152854515,0.5373655132305903,0.01696229524086459
44,29,0.002193657799396975,117,0.002321988912645057,1.0585009718851133,4,113,121,500000,10251,0.020502,0.4280557994342015,0.5579943420154131,0.013949858550385328
45,25,0.00240315456273066,114,0.002331579812069849,0.9702163349079462,4,110,118,500000,10539,0.021078,0.4324888509346238,0.555650441218332,0.011860707847044311
46,21,0.0026320743443147944,111,0.0023391415454481934,0.888706487527859,4,107,115,500000,10507,0.021014,0.4133434852955173,0.5748548586656514,0.011801656038831255
47,16,0.003049091318069367,107,0.0023408492634883382,0.7677202875545637,4,103,111,500000,10420,0.02084,0.39923224568138194,0.5928982725527832,0.007869481765834933
48,15,0.00328311290791712,104,0.002344312292259125,0.7140516814410776,4,100,108,500000,10551,0.021102,0.37731020756326417,0.6152023504881053,0.007487441948630462
49,14,0.0034548336056272016,102,0.002345557535206258,0.6789205510175179,4,98,106,500000,10688,0.021376,0.3844498502994012,0.6078779940119761,0.007672155688622754
50,3,0.007936507936507891,5,0.007306626354245368,0.9206349206349217,1,4,6,500000,9967,0.019934,0.0,1.0,0.0
51,14,0.003454833605627204,101,0.0023412049218523674,0.6776606890818222,4,97,105,500000,10320,0.02064,0.36947674418604654,0.6263565891472869,0.004166666666666667
52,15,0.003283112907917118,103,0.0023355918171461955,0.7113955208527837,4,99,107,500000,10296,0.020592,0.38665501165501165,0.60994560994561,0.0033993783993783995
53,16,0.0030490913180693663,105,0.0023278693755817586,0.7634633183291233,4,101,109,500000,10424,0.020848,0.398119723714505,0.5985226400613968,0.003357636224098235
54,21,0.00263207434211533,109,0.0023230276297836116,0.8825843528099797,4,105,113,500000,10478,0.020956,0.40083985493414775,0.5957243748807024,0.0034357701851498376
55,25,0.002403154020352976,112,0.0023120467851197716,0.9620884743709341,4,108,116,500000,10518,0.021036,0.42061228370412623,0.5752044114850732,0.004183304810800532
56,29,0.0021936507456749486,115,0.002299438606034248,1.0482245683675366,4,111,119,500000,10414,0.020828,0.43230266948338775,0.5633762243134243,0.004321106203188016
57,37,0.002016798548945965,117,0.0022852545862432107,1.1331099912966263,4,113,121,500000,10278,0.020556,0.44804436660828956,0.5468962833236038,0.005059350068106636
